ticker,Indice,Precio,Dif,TIR,MD,Vol(M),Paridad,VT,tTIR,UpTIR,dQ,pQ,Q/P,Unnamed: 14
AL30C,USS,48hs,25.9,=0.00%,58.4%,1.85,0.2,25.8%,100.3,9.4%,190.9%,57,0.4,1%
AL29C,USS,48hs,27.25,=0.00%,59.1%,1.88,0.0,27.2%,100.3,9.4%,184.2%,57,0.5,2%
AE38C,USS,48hs,28.6,=0.00%,31.3%,3.83,0.0,28.2%,101.5,10.2%,155.5%,57,2.1,7%
AL35C,USS,48hs,25.5,=0.00%,28.8%,4.73,0.0,25.2%,101.3,10.5%,163.9%,57,1.8,7%
AL41C,USS,48hs,32.5,↑17.12%,21.7%,5.34,0.0,32.1%,101.2,10.6%,89.7%,57,1.8,5%
GD29C,USS,48hs,26.75,=0.00%,60.4%,1.86,0.0,26.7%,100.3,9.4%,189.6%,57,0.5,2%
GD30C,USS,48hs,31.0,↑3.33%,47.3%,2.07,0.0,30.9%,100.3,9.5%,142.0%,57,0.4,1%
GD46C,USS,48hs,29.15,↑7.61%,28.7%,3.57,0.0,28.8%,101.3,10.2%,131.0%,57,1.8,6%
GD38C,USS,48hs,34.5,↑5.95%,26.1%,4.27,0.0,34.0%,101.5,10.4%,110.2%,57,2.1,6%
GD35C,USS,48hs,27.0,=0.00%,27.5%,4.87,0.0,26.7%,101.3,10.5%,148.6%,57,1.8,7%
GD41C,USS,48hs,29.0,=0.00%,24.1%,5.02,0.0,28.6%,101.2,10.6%,113.7%,57,1.8,6%
AL30C,USS,48hs,25.9,=0.00%,58.4%,1.85,0.2,25.8%,100.3,9.4%,190.9%,57,0.4,1%
AL29C,USS,48hs,27.25,=0.00%,59.1%,1.88,0.0,27.2%,100.3,9.4%,184.2%,57,0.5,2%
AE38C,USS,48hs,28.6,=0.00%,31.3%,3.83,0.0,28.2%,101.5,10.2%,155.5%,57,2.1,7%
AL35C,USS,48hs,25.5,=0.00%,28.8%,4.73,0.0,25.2%,101.3,10.5%,163.9%,57,1.8,7%
AL41C,USS,48hs,32.5,↑17.12%,21.7%,5.34,0.0,32.1%,101.2,10.6%,89.7%,57,1.8,5%
GD29C,USS,48hs,26.75,=0.00%,60.4%,1.86,0.0,26.7%,100.3,9.4%,189.6%,57,0.5,2%
GD30C,USS,48hs,31.0,↑3.33%,47.3%,2.07,0.0,30.9%,100.3,9.5%,142.0%,57,0.4,1%
GD46C,USS,48hs,29.15,↑7.61%,28.7%,3.57,0.0,28.8%,101.3,10.2%,131.0%,57,1.8,6%
GD38C,USS,48hs,34.5,↑5.95%,26.1%,4.27,0.0,34.0%,101.5,10.4%,110.2%,57,2.1,6%
GD35C,USS,48hs,27.0,=0.00%,27.5%,4.87,0.0,26.7%,101.3,10.5%,148.6%,57,1.8,7%
GD41C,USS,48hs,29.0,=0.00%,24.1%,5.02,0.0,28.6%,101.2,10.6%,113.7%,57,1.8,6%
X23N3,CER,48hs,156.5,↑0.12%,433.4%,0.0,206.2,99.4%,157.4,-,-,10,-,-
X18E4,CER,48hs,131.43,↑1.29%,-3.0%,0.18,12.6,100.5%,130.7,-,-,66,-,-
TDF24,CER,48hs,45800.0,↓-0.00%,-45.0%,0.52,0.6,119.8%,38243.6,-,-,107,-,-
TDA24,CER,48hs,48000.0,↑1.05%,-36.7%,0.72,0.0,125.1%,38382.7,-,-,169,-,-
TDG24,CER,48hs,47250.0,↓-0.32%,-22.6%,1.02,0.1,125.6%,37613.5,-,-,291,-,-
X23N3,48hs,156.5,↑0.12%,433.4%,0.0,206.2,99.4%,157.4,-,-,10,-,-
X18E4,48hs,131.43,↑1.29%,-3.0%,0.18,12.6,100.5%,130.7,-,-,66,-,-
TDF24,48hs,45800.0,↓-0.00%,-45.0%,0.52,0.6,119.8%,38243.6,-,-,107,-,-
TDA24,48hs,48000.0,↑1.05%,-36.7%,0.72,0.0,125.1%,38382.7,-,-,169,-,-
TDG24,48hs,47250.0,↓-0.32%,-22.6%,1.02,0.1,125.6%,37613.5,-,-,291,-,-
TV24,USDL,48hs,46201.0,↑0.00%,-45.3%,0.59,0.6,132.0%,100.0,-,-,169,-,-
T2V4,USDL,48hs,46100.0,↑0.44%,-26.6%,1.01,0.0,131.6%,100.1,-,-,140,-,-
TDF24D,USDL,48hs,45800.0,↓-0.00%,-60.8%,0.73,0.6,130.9%,100.0,-,-,107,-,-
TDA24D,USDL,48hs,48000.0,↑1.05%,-49.9%,0.91,0.0,137.1%,100.0,-,-,169,-,-
TDG24D,USDL,48hs,47250.0,↓-0.32%,-31.6%,1.16,0.1,135.0%,100.0,-,-,291,-,-
TV24,48hs,46201.0,↑0.00%,-45.3%,0.59,0.6,132.0%,100.0,-,-,169,-,-
T2V4,48hs,46100.0,↑0.44%,-26.6%,1.01,0.0,131.6%,100.1,-,-,140,-,-
TDF24D,48hs,45800.0,↓-0.00%,-60.8%,0.73,0.6,130.9%,100.0,-,-,107,-,-
TDA24D,48hs,48000.0,↑1.05%,-49.9%,0.91,0.0,137.1%,100.0,-,-,169,-,-
TDG24D,48hs,47250.0,↓-0.32%,-31.6%,1.16,0.1,135.0%,100.0,-,-,291,-,-
