ticker,Indice,Precio,Dif,TIR,MD,Vol(M),Paridad,VT,tTIR,UpTIR,dQ,pQ,Q/P,Unnamed: 14
AL29D,USS,48hs,26.08,↓-1.55%,62.0%,1.84,0.1,26.0%,100.3,9.4%,197.2%,57,0.5,2%
AL30D,USS,48hs,25.91,↓-2.78%,58.3%,1.85,61.7,25.8%,100.3,9.4%,190.8%,57,0.4,1%
AE38D,USS,48hs,27.78,↓-1.04%,32.1%,3.76,0.1,27.4%,101.5,10.2%,163.3%,57,2.1,8%
AL41D,USS,48hs,25.31,↓-1.13%,27.3%,4.63,0.0,25.0%,101.2,10.5%,146.5%,57,1.8,7%
AL35D,USS,48hs,25.2,↓-0.59%,29.1%,4.7,0.1,24.9%,101.3,10.5%,167.1%,57,1.8,7%
GD29D,USS,48hs,29.5,↓-8.99%,54.1%,1.96,0.0,29.4%,100.3,9.4%,162.1%,57,0.5,2%
GD30D,USS,48hs,29.81,↓-2.74%,49.5%,2.02,0.6,29.7%,100.3,9.5%,151.9%,57,0.4,1%
GD46D,USS,48hs,27.09,↓-3.24%,31.1%,3.34,0.0,26.8%,101.3,10.1%,149.8%,57,1.8,7%
GD38D,USS,48hs,34.0,=0.00%,26.4%,4.24,0.0,33.5%,101.5,10.4%,113.4%,57,2.1,6%
GD35D,USS,48hs,27.3,↓-1.63%,27.2%,4.89,0.0,27.0%,101.3,10.5%,145.8%,57,1.8,7%
GD41D,USS,48hs,29.3,=0.00%,23.9%,5.04,0.0,28.9%,101.2,10.6%,111.4%,57,1.8,6%
